N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"55,050","하락
				1,550",-2.74%,100,"3,258,761","5,919,638",50.18,"8,234,694",11.12,9.03,
2,SK하이닉스,"175,200","하락
				5,400",-2.99%,"5,000","1,275,460","728,002",53.73,"1,749,118",6.45,31.06,
3,LG에너지솔루션,"345,000",보합0,0.00%,500,"807,300","234,000",4.40,"92,582",-79.24,-4.93,
4,삼성바이오로직스,"1,028,000","하락
				6,000",-0.58%,"2,500","731,669","71,174",13.13,"14,448",67.54,10.45,
5,현대차,"183,950","하락
				3,050",-1.63%,"5,000","385,221","209,416",35.93,"325,607",4.00,12.43,
6,삼성전자우,"45,700","하락
				1,000",-2.14%,100,"372,900","815,975",74.16,"407,923",9.23,N/A,
7,한화에어로스페이스,"792,000","상승
				21,000",+2.72%,"5,000","361,003","45,581",47.09,"152,038",16.87,53.94,
8,셀트리온,"159,800",보합0,0.00%,"1,000","356,767","223,258",22.40,"194,440",86.15,2.46,
9,기아,"85,700","하락
				100",-0.12%,"5,000","340,805","397,673",38.72,"267,534",3.51,19.09,
10,HD현대중공업,"356,500","상승
				3,000",+0.85%,"5,000","316,476","88,773",9.90,"149,669",50.92,11.39,
11,KB금융,"78,800","상승
				800",+1.03%,"5,000","310,100","393,528",74.78,"341,573",6.20,8.86,
12,NAVER,"185,300","상승
				1,400",+0.76%,100,"293,584","158,437",48.48,"230,044",15.55,7.90,
13,한화오션,"78,400","하락
				1,000",-1.26%,"5,000","240,228","306,413",11.15,"1,228,753",45.48,11.52,
14,신한지주,"47,350","상승
				250",+0.53%,"5,000","238,381","503,445",57.92,"385,688",5.42,8.11,
15,현대모비스,"241,000","하락
				500",-0.21%,"5,000","224,118","92,995",41.91,"37,567",5.54,9.35,
16,메리츠금융지주,"113,800","하락
				400",-0.35%,500,"210,108","184,629",16.05,"88,730",9.57,23.44,
17,POSCO홀딩스,"254,750","하락
				2,750",-1.07%,"5,000","206,177","80,933",29.43,"73,883",19.49,2.00,
18,삼성물산,"115,200","하락
				200",-0.17%,100,"195,813","169,977",27.82,"40,902",9.38,6.83,
